Tabela,Data,Kurs średni,Zmiana
251/A/NBP/2023,2023-12-29,4.348,0.2
250/A/NBP/2023,2023-12-28,4.3392,0.19
249/A/NBP/2023,2023-12-27,4.3311,0.05
248/A/NBP/2023,2023-12-22,4.3288,-0.23
247/A/NBP/2023,2023-12-21,4.3387,0.11
246/A/NBP/2023,2023-12-20,4.3341,0.05
245/A/NBP/2023,2023-12-19,4.3321,0.12
244/A/NBP/2023,2023-12-18,4.3269,0.39
243/A/NBP/2023,2023-12-15,4.3103,0.12
242/A/NBP/2023,2023-12-14,4.3053,-0.59
241/A/NBP/2023,2023-12-13,4.3309,-0.2
240/A/NBP/2023,2023-12-12,4.3396,0.07
239/A/NBP/2023,2023-12-11,4.3366,0.15
238/A/NBP/2023,2023-12-08,4.3303,-0.07
237/A/NBP/2023,2023-12-07,4.3334,-0.11
236/A/NBP/2023,2023-12-06,4.3382,0.34
235/A/NBP/2023,2023-12-05,4.3233,-0.24
234/A/NBP/2023,2023-12-04,4.3337,-0.36
233/A/NBP/2023,2023-12-01,4.3494,0
232/A/NBP/2023,2023-11-30,4.3492,0.38
231/A/NBP/2023,2023-11-29,4.3327,-0.49
230/A/NBP/2023,2023-11-28,4.3542,0
229/A/NBP/2023,2023-11-27,4.3543,-0.41
228/A/NBP/2023,2023-11-24,4.3722,0.15
227/A/NBP/2023,2023-11-23,4.3658,-0.33
226/A/NBP/2023,2023-11-22,4.3804,0.36
225/A/NBP/2023,2023-11-21,4.3647,-0.08
224/A/NBP/2023,2023-11-20,4.368,-0.2
223/A/NBP/2023,2023-11-17,4.3767,-0.2
222/A/NBP/2023,2023-11-16,4.3854,-0.1
221/A/NBP/2023,2023-11-15,4.39,-0.6
220/A/NBP/2023,2023-11-14,4.4163,-0.39
219/A/NBP/2023,2023-11-13,4.4336,0.25
218/A/NBP/2023,2023-11-10,4.4227,-0.42
217/A/NBP/2023,2023-11-09,4.4413,-0.38
216/A/NBP/2023,2023-11-08,4.4584,0.16
